Date,Host,Service,Content
"2026-03-06T13:42:35.344Z","pdv-loja-005","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=005][PIX][DICT] Falha na consulta DICT chave=telefone:+5521988776655 rc=-6 erro=TIMEOUT_COMUNICACAO msg=Nao foi possivel consultar o DICT do BACEN tempo_ms=3000 / Exception: java.net.SocketTimeoutException: failed to connect to /10.50.1.20 (port 8443) from /10.0.2.15 (port 49361) after 3000ms	at libcore.io.IoBridge.connectErrno(IoBridge.java:235)	at com.pix.gateway.DictClient.consultaChave(DictClient.java:112)	at java.lang.Thread.run(Thread.java:1119)"
"2026-03-06T13:42:35.344Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][PIX] Iniciando transacao PIX valor=10627 chave=telefone:+5521988776655 txid=PIX202603061342336263005 nsu=891558"
"2026-03-06T13:42:35.344Z","pdv-loja-002","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=002][PIX][TRANSACAO] Transacao PIX REJEITADA txid=PIX202603061342336262002 motivo=DICT_INDISPONIVEL rc=-6 valor_cents=1835200 tentativa=1/3"
"2026-03-06T13:42:35.344Z","pdv-loja-002","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=002][PIX][DICT] Falha na consulta DICT chave=telefone:+5521988776655 rc=-6 erro=TIMEOUT_COMUNICACAO msg=Nao foi possivel consultar o DICT do BACEN tempo_ms=3000 / Exception: java.net.SocketTimeoutException: failed to connect to /10.50.1.20 (port 8443) from /10.0.2.15 (port 51104) after 3000ms	at libcore.io.IoBridge.connectErrno(IoBridge.java:235)	at com.pix.gateway.DictClient.consultaChave(DictClient.java:112)	at java.lang.Thread.run(Thread.java:1119)"
"2026-03-06T13:42:35.344Z","pdv-loja-002","bad-logs","[06/03/2026 13:42:33] [PDV=002][PIX] Iniciando transacao PIX valor=18352 chave=telefone:+5521988776655 txid=PIX202603061342336262002 nsu=891557"
"2026-03-06T13:42:35.344Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=004][PIX][TRANSACAO] Transacao PIX REJEITADA txid=PIX202603061342336261004 motivo=DICT_INDISPONIVEL rc=-6 valor_cents=1084800 tentativa=1/3"
"2026-03-06T13:42:35.344Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=004][PIX][DICT] Falha na consulta DICT chave=telefone:+5541966554433 rc=-6 erro=TIMEOUT_COMUNICACAO msg=Nao foi possivel consultar o DICT do BACEN tempo_ms=3000 / Exception: java.net.SocketTimeoutException: failed to connect to /10.50.1.20 (port 8443) from /10.0.2.15 (port 40864) after 3000ms	at libcore.io.IoBridge.connectErrno(IoBridge.java:235)	at com.pix.gateway.DictClient.consultaChave(DictClient.java:112)	at java.lang.Thread.run(Thread.java:1119)"
"2026-03-06T13:42:35.344Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX] Iniciando transacao PIX valor=10848 chave=telefone:+5541966554433 txid=PIX202603061342336261004 nsu=891556"
"2026-03-06T13:42:35.344Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][VENDA][CANCELADA] COO=5917 motivo=PIX_TIMEOUT valor_cents=1460500"
"2026-03-06T13:42:35.344Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:42:33] [PDV=004][PIX][TIMEOUT] Transacao PIX EXPIRADA txid=PIX202603061342336260004 tempo_espera_seg=600 status=TIMEOUT valor_cents=1460500 chave=email:loja@empresa.com.br msg=Cliente nao realizou o pagamento dentro do prazo"
"2026-03-06T13:42:35.344Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061342336260004 tipo=DINAMICO valor_cents=1460500 expiracao_seg=600"
"2026-03-06T13:42:35.344Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX] Iniciando transacao PIX valor=14605 chave=email:loja@empresa.com.br txid=PIX202603061342336260004 nsu=891555"
"2026-03-06T13:42:35.344Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][VENDA][FINALIZADA] COO=6227 valor_total_cents=3821100 forma_pagamento=PIX nsu=891554 cupom_fiscal=OK"
"2026-03-06T13:42:35.344Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061342336259003 endToEndId=E0000000000000000000000006259 valor_cents=3821100 status=CONCLUIDA"
"2026-03-06T13:42:35.344Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][PIX][DICT] Consulta DICT chave=cpf:111.222.333-44 resultado=OK nome_beneficiario=FERNANDA LIMA ispb=00000000 banco=Bradesco"
"2026-03-06T13:42:35.344Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061342336259003 tipo=DINAMICO valor_cents=3821100 expiracao_seg=300"
"2026-03-06T13:42:35.344Z","pdv-loja-003","bad-logs","[06/03/2026 13:42:33] [PDV=003][PIX] Iniciando transacao PIX valor=38211 chave=cpf:111.222.333-44 txid=PIX202603061342336259003 nsu=891554"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][VENDA][FINALIZADA] COO=6026 valor_total_cents=1727700 forma_pagamento=PIX nsu=891553 cupom_fiscal=OK"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061342336258004 endToEndId=E0000020800000000000000006258 valor_cents=1727700 status=CONCLUIDA"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][DICT] Consulta DICT chave=cpf:777.888.999-00 resultado=OK nome_beneficiario=MARIA OLIVEIRA ispb=00000208 banco=Inter"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061342336258004 tipo=DINAMICO valor_cents=1727700 expiracao_seg=300"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX] Iniciando transacao PIX valor=17277 chave=cpf:777.888.999-00 txid=PIX202603061342336258004 nsu=891553"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][VENDA][FINALIZADA] COO=6268 valor_total_cents=976100 forma_pagamento=PIX nsu=891552 cupom_fiscal=OK"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061342336257004 endToEndId=E6087250400000000000000006257 valor_cents=976100 status=CONCLUIDA"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][DICT] Consulta DICT chave=cpf:123.456.789-00 resultado=OK nome_beneficiario=MARIA OLIVEIRA ispb=60872504 banco=Santander"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061342336257004 tipo=DINAMICO valor_cents=976100 expiracao_seg=300"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX] Iniciando transacao PIX valor=9761 chave=cpf:123.456.789-00 txid=PIX202603061342336257004 nsu=891552"
"2026-03-06T13:42:34.168Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][VENDA][FINALIZADA] COO=5867 valor_total_cents=3681400 forma_pagamento=PIX nsu=891551 cupom_fiscal=OK"
"2026-03-06T13:42:34.168Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061342336256005 endToEndId=E0041696800000000000000006256 valor_cents=3681400 status=CONCLUIDA"
"2026-03-06T13:42:34.168Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][PIX][DICT] Consulta DICT chave=cpf:666.555.444-33 resultado=OK nome_beneficiario=MARCOS ALMEIDA ispb=00416968 banco=C6Bank"
"2026-03-06T13:42:34.168Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061342336256005 tipo=DINAMICO valor_cents=3681400 expiracao_seg=600"
"2026-03-06T13:42:34.168Z","pdv-loja-005","bad-logs","[06/03/2026 13:42:33] [PDV=005][PIX] Iniciando transacao PIX valor=36814 chave=cpf:666.555.444-33 txid=PIX202603061342336256005 nsu=891551"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][VENDA][FINALIZADA] COO=5750 valor_total_cents=1388700 forma_pagamento=PIX nsu=891550 cupom_fiscal=OK"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061342336255004 endToEndId=E0118152100000000000000006255 valor_cents=1388700 status=CONCLUIDA"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][DICT] Consulta DICT chave=cpf:987.654.321-00 resultado=OK nome_beneficiario=ROBERTO COSTA ispb=01181521 banco=Nubank"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061342336255004 tipo=DINAMICO valor_cents=1388700 expiracao_seg=600"
"2026-03-06T13:42:34.168Z","pdv-loja-004","bad-logs","[06/03/2026 13:42:33] [PDV=004][PIX] Iniciando transacao PIX valor=13887 chave=cpf:987.654.321-00 txid=PIX202603061342336255004 nsu=891550"
"2026-03-06T13:41:33.185Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][OPERADOR] Msg='PIX REJEITADO - CONTA_BLOQUEADA. Solicitar outra forma de pagamento.' | Opcoes=NOVA_FORMA,CANCELAR"
"2026-03-06T13:41:33.185Z","pdv-loja-002","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=002][PIX][PAGAMENTO] Pagamento PIX REJEITADO pelo PSP txid=PIX202603061341311451002 endToEndId=E6074694800000000000000001451 rc=-22 erro=CONTA_BLOQUEADA msg=Conta do pagador com restricao valor_cents=546700 banco_pagador=C6Bank"
"2026-03-06T13:41:33.185Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][PIX] Iniciando transacao PIX valor=5467 chave=cpf:999.888.777-66 txid=PIX202603061341311451002 nsu=889454"
"2026-03-06T13:41:33.185Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] Analise de recursos PIX Gateway=== Conexoes PSP ===Pool Ativo: 9Pool Livre: 1Pool Maximo: 10Uso Pool (%): 9a494a52cbe8a6a3=== Fila de Transacoes ===Pendentes: 12Processando: 1Timeout: 1=== Latencia ===Media DICT (ms): 697P95 DICT (ms): 1826Media PSP (ms): 949P95 PSP (ms): 2577=== Certificados ===mTLS PSP: Valido ate 2026-06-15mTLS BACEN: Valido ate 2026-09-20"
"2026-03-06T13:41:33.185Z","pdv-loja-003","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=003][PIX][TRANSACAO] Transacao PIX REJEITADA txid=PIX202603061341311450003 motivo=DICT_INDISPONIVEL rc=-6 valor_cents=1919200 tentativa=1/3"
"2026-03-06T13:41:33.185Z","pdv-loja-003","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=003][PIX][DICT] Falha na consulta DICT chave=telefone:+5541966554433 rc=-6 erro=TIMEOUT_COMUNICACAO msg=Nao foi possivel consultar o DICT do BACEN tempo_ms=3000 / Exception: java.net.SocketTimeoutException: failed to connect to /10.50.1.20 (port 8443) from /10.0.2.15 (port 54932) after 3000ms	at libcore.io.IoBridge.connectErrno(IoBridge.java:235)	at com.pix.gateway.DictClient.consultaChave(DictClient.java:112)	at java.lang.Thread.run(Thread.java:1119)"
"2026-03-06T13:41:32.479Z","pdv-loja-003","bad-logs","[06/03/2026 13:41:31] [PDV=003][PIX] Iniciando transacao PIX valor=19192 chave=telefone:+5541966554433 txid=PIX202603061341311450003 nsu=889453"
"2026-03-06T13:41:32.479Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=004][PIX][TRANSACAO] Transacao PIX REJEITADA txid=PIX202603061341311449004 motivo=DICT_INDISPONIVEL rc=-6 valor_cents=241600 tentativa=1/3"
"2026-03-06T13:41:32.479Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=004][PIX][DICT] Falha na consulta DICT chave=telefone:+5511999887766 rc=-6 erro=TIMEOUT_COMUNICACAO msg=Nao foi possivel consultar o DICT do BACEN tempo_ms=3000 / Exception: java.net.SocketTimeoutException: failed to connect to /10.50.1.20 (port 8443) from /10.0.2.15 (port 55855) after 3000ms	at libcore.io.IoBridge.connectErrno(IoBridge.java:235)	at com.pix.gateway.DictClient.consultaChave(DictClient.java:112)	at java.lang.Thread.run(Thread.java:1119)"
"2026-03-06T13:41:32.479Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX] Iniciando transacao PIX valor=2416 chave=telefone:+5511999887766 txid=PIX202603061341311449004 nsu=889452"
"2026-03-06T13:41:32.479Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=004][PIX][TRANSACAO] Transacao PIX REJEITADA txid=PIX202603061341311448004 motivo=DICT_INDISPONIVEL rc=-6 valor_cents=419900 tentativa=1/3"
"2026-03-06T13:41:32.479Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=004][PIX][DICT] Falha na consulta DICT chave=telefone:+5541966554433 rc=-6 erro=TIMEOUT_COMUNICACAO msg=Nao foi possivel consultar o DICT do BACEN tempo_ms=3000 / Exception: java.net.SocketTimeoutException: failed to connect to /10.50.1.20 (port 8443) from /10.0.2.15 (port 43445) after 3000ms	at libcore.io.IoBridge.connectErrno(IoBridge.java:235)	at com.pix.gateway.DictClient.consultaChave(DictClient.java:112)	at java.lang.Thread.run(Thread.java:1119)"
"2026-03-06T13:41:32.479Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX] Iniciando transacao PIX valor=4199 chave=telefone:+5541966554433 txid=PIX202603061341311448004 nsu=889451"
"2026-03-06T13:41:32.479Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][VENDA][CANCELADA] COO=6092 motivo=PIX_TIMEOUT valor_cents=411700"
"2026-03-06T13:41:32.479Z","pdv-loja-001","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=001][PIX][TIMEOUT] Transacao PIX EXPIRADA txid=PIX202603061341311447001 tempo_espera_seg=600 status=TIMEOUT valor_cents=411700 chave=email:ana@hotmail.com msg=Cliente nao realizou o pagamento dentro do prazo"
"2026-03-06T13:41:32.479Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061341311447001 tipo=DINAMICO valor_cents=411700 expiracao_seg=600"
"2026-03-06T13:41:32.479Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][PIX] Iniciando transacao PIX valor=4117 chave=email:ana@hotmail.com txid=PIX202603061341311447001 nsu=889450"
"2026-03-06T13:41:32.479Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][VENDA][CANCELADA] COO=6468 motivo=PIX_TIMEOUT valor_cents=2817800"
"2026-03-06T13:41:32.479Z","pdv-loja-002","bad-logs","ERROR: [06/03/2026 13:41:31] [PDV=002][PIX][TIMEOUT] Transacao PIX EXPIRADA txid=PIX202603061341311446002 tempo_espera_seg=600 status=TIMEOUT valor_cents=2817800 chave=email:maria@email.com msg=Cliente nao realizou o pagamento dentro do prazo"
"2026-03-06T13:41:32.479Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061341311446002 tipo=DINAMICO valor_cents=2817800 expiracao_seg=600"
"2026-03-06T13:41:32.479Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][PIX] Iniciando transacao PIX valor=28178 chave=email:maria@email.com txid=PIX202603061341311446002 nsu=889449"
"2026-03-06T13:41:32.479Z","pdv-loja-005","bad-logs","[06/03/2026 13:41:31] [PDV=005][VENDA][FINALIZADA] COO=6386 valor_total_cents=1022200 forma_pagamento=PIX nsu=889448 cupom_fiscal=OK"
"2026-03-06T13:41:32.479Z","pdv-loja-005","bad-logs","[06/03/2026 13:41:31] [PDV=005][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061341311445005 endToEndId=E0000020800000000000000001445 valor_cents=1022200 status=CONCLUIDA"
"2026-03-06T13:41:32.479Z","pdv-loja-005","bad-logs","[06/03/2026 13:41:31] [PDV=005][PIX][DICT] Consulta DICT chave=cpf:111.222.333-44 resultado=OK nome_beneficiario=ROBERTO COSTA ispb=00000208 banco=Nubank"
"2026-03-06T13:41:32.479Z","pdv-loja-005","bad-logs","[06/03/2026 13:41:31] [PDV=005][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061341311445005 tipo=DINAMICO valor_cents=1022200 expiracao_seg=600"
"2026-03-06T13:41:32.479Z","pdv-loja-005","bad-logs","[06/03/2026 13:41:31] [PDV=005][PIX] Iniciando transacao PIX valor=10222 chave=cpf:111.222.333-44 txid=PIX202603061341311445005 nsu=889448"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][VENDA][FINALIZADA] COO=6243 valor_total_cents=81500 forma_pagamento=PIX nsu=889447 cupom_fiscal=OK"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061341311444004 endToEndId=E6087250400000000000000001444 valor_cents=81500 status=CONCLUIDA"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX][DICT] Consulta DICT chave=cpf:666.555.444-33 resultado=OK nome_beneficiario=JOAO SILVA ispb=60872504 banco=Bradesco"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061341311444004 tipo=ESTATICO valor_cents=81500 expiracao_seg=300"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX] Iniciando transacao PIX valor=815 chave=cpf:666.555.444-33 txid=PIX202603061341311444004 nsu=889447"
"2026-03-06T13:41:31.857Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][VENDA][FINALIZADA] COO=5716 valor_total_cents=2323700 forma_pagamento=PIX nsu=889446 cupom_fiscal=OK"
"2026-03-06T13:41:31.857Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061341311443002 endToEndId=E1823612000000000000000001443 valor_cents=2323700 status=CONCLUIDA"
"2026-03-06T13:41:31.857Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][PIX][DICT] Consulta DICT chave=cpf:666.555.444-33 resultado=OK nome_beneficiario=MARCOS ALMEIDA ispb=18236120 banco=Caixa"
"2026-03-06T13:41:31.857Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061341311443002 tipo=DINAMICO valor_cents=2323700 expiracao_seg=600"
"2026-03-06T13:41:31.857Z","pdv-loja-002","bad-logs","[06/03/2026 13:41:31] [PDV=002][PIX] Iniciando transacao PIX valor=23237 chave=cpf:666.555.444-33 txid=PIX202603061341311443002 nsu=889446"
"2026-03-06T13:41:31.857Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][VENDA][FINALIZADA] COO=5774 valor_total_cents=1833900 forma_pagamento=PIX nsu=889445 cupom_fiscal=OK"
"2026-03-06T13:41:31.857Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061341311442001 endToEndId=E9040088800000000000000001442 valor_cents=1833900 status=CONCLUIDA"
"2026-03-06T13:41:31.857Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][PIX][DICT] Consulta DICT chave=cpf:999.888.777-66 resultado=OK nome_beneficiario=ANA SOUZA ispb=90400888 banco=Sicoob"
"2026-03-06T13:41:31.857Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061341311442001 tipo=DINAMICO valor_cents=1833900 expiracao_seg=300"
"2026-03-06T13:41:31.857Z","pdv-loja-001","bad-logs","[06/03/2026 13:41:31] [PDV=001][PIX] Iniciando transacao PIX valor=18339 chave=cpf:999.888.777-66 txid=PIX202603061341311442001 nsu=889445"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][VENDA][FINALIZADA] COO=6199 valor_total_cents=4704000 forma_pagamento=PIX nsu=889444 cupom_fiscal=OK"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX][PAGAMENTO] Confirmacao recebida txid=PIX202603061341311441004 endToEndId=E6087250400000000000000001441 valor_cents=4704000 status=CONCLUIDA"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX][DICT] Consulta DICT chave=cpf:987.654.321-00 resultado=OK nome_beneficiario=PATRICIA ROCHA ispb=60872504 banco=BancoOriginal"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX][QRCODE] QR Code gerado com sucesso txid=PIX202603061341311441004 tipo=DINAMICO valor_cents=4704000 expiracao_seg=300"
"2026-03-06T13:41:31.857Z","pdv-loja-004","bad-logs","[06/03/2026 13:41:31] [PDV=004][PIX] Iniciando transacao PIX valor=47040 chave=cpf:987.654.321-00 txid=PIX202603061341311441004 nsu=889444"
"2026-03-06T13:40:30.902Z","pdv-loja-004","bad-logs","[06/03/2026 13:40:28] [PDV=004][OPERADOR] Msg='PIX REJEITADO - SALDO_INSUFICIENTE. Solicitar outra forma de pagamento.' | Opcoes=NOVA_FORMA,CANCELAR"
"2026-03-06T13:40:30.902Z","pdv-loja-004","bad-logs","ERROR: [06/03/2026 13:40:28] [PDV=004][PIX][PAGAMENTO] Pagamento PIX REJEITADO pelo PSP txid=PIX202603061340286751004 endToEndId=E0041696800000000000000006751 rc=-22 erro=SALDO_INSUFICIENTE msg=Conta do pagador com restricao valor_cents=122000 banco_pagador=Bradesco"
"2026-03-06T13:40:30.902Z","pdv-loja-004","bad-logs","[06/03/2026 13:40:28] [PDV=004][PIX] Iniciando transacao PIX valor=1220 chave=cpf:777.888.999-00 txid=PIX202603061340286751004 nsu=884519"
"2026-03-06T13:40:30.902Z","pdv-loja-003","bad-logs","[06/03/2026 13:40:28] [PDV=003][OPERADOR] Msg='PIX REJEITADO - SALDO_INSUFICIENTE. Solicitar outra forma de pagamento.' | Opcoes=NOVA_FORMA,CANCELAR"
"2026-03-06T13:40:30.902Z","pdv-loja-003","bad-logs","ERROR: [06/03/2026 13:40:28] [PDV=003][PIX][PAGAMENTO] Pagamento PIX REJEITADO pelo PSP txid=PIX202603061340286750003 endToEndId=E9040088800000000000000006750 rc=-22 erro=SALDO_INSUFICIENTE msg=Conta do pagador com restricao valor_cents=363800 banco_pagador=Sicoob"
"2026-03-06T13:40:30.902Z","pdv-loja-003","bad-logs","[06/03/2026 13:40:28] [PDV=003][PIX] Iniciando transacao PIX valor=3638 chave=cpf:987.654.321-00 txid=PIX202603061340286750003 nsu=884518"
